同僚	950106157-011	 青:4 緑:2 茶:1 橙:1 赤:1 黄:1 灰:1
同僚	950105175-001	 青:3 緑:3 橙:2 黄:1 黒:1 白:1
同僚	950103133-002	 青:4 緑:3 赤:2 黒:2
並立	950105013-007	 青:4 緑:2 茶:1 黄:1 灰:1 黒:1 白:1
並立	950105013-001	 青:2 橙:2 黄:2 黒:2 灰:1 白:1 緑:1
並立	950103010-002	 茶:3 灰:3 黄:2 白:2 緑:1
魅力	950107129-010	 桃:5 橙:2 紫:1 青:1 黄:1 緑:1
魅力	950104186-037	 桃:4 青:2 赤:2 紫:1 黄:1 白:1
魅力	950107034-004	 青:3 橙:2 桃:2 白:2 紫:1 黄:1
鉄鋼	950104049-005	 黒:4 灰:3 青:2 茶:1 緑:1
鉄鋼	950104048-004	 灰:7 黒:2 橙:1 茶:1
鉄鋼	950104048-007	 黒:5 灰:4 青:1 黄:1
学術	950103120-010	 白:4 青:2 黒:2 橙:1 灰:1 緑:1
学術	950105196-002	 緑:3 橙:2 白:2 茶:1 桃:1 灰:1 黒:1
学術	950103120-012	 青:3 白:3 紫:2 茶:1 灰:1 黒:1
建設	950104030-001	 茶:2 灰:2 赤:1 桃:1 青:1 橙:1 黄:1 黒:1 白:1
建設	950106192-004	 灰:4 茶:3 紫:1 青:1 黄:1 緑:1
建設	950101071-034	 茶:3 青:2 紫:2 橙:1 赤:1 黒:1 白:1
担保	950105066-004	 灰:3 白:2 紫:1 赤:1 緑:1 青:1 橙:1 黄:1
担保	950105066-002	 灰:4 黄:3 紫:1 青:1 赤:1 茶:1
担保	950101073-031	 赤:2 黄:2 黒:2 青:1 紫:1 茶:1 灰:1 緑:1
得票	950104172-005	 白:4 赤:2 灰:2 黄:1 黒:1 緑:1
得票	950103013-002	 赤:3 青:2 灰:2 緑:2 黒:1 白:1
得票	950103013-008	 赤:3 白:2 緑:1 青:1 茶:1 黄:1 灰:1 黒:1
有権者	950105240-011	 青:5 赤:2 白:2 黄:1 緑:1
有権者	950104016-003	 青:3 赤:2 紫:1 緑:1 橙:1 黄:1 黒:1 白:1
有権者	950105240-001	 青:4 灰:3 白:2 橙:1 黒:1
管理	950104038-007	 青:4 茶:2 黒:2 紫:1 灰:1 緑:1
管理	950104062-010	 青:2 橙:2 黄:2 黒:2 赤:1 白:1 緑:1
管理	950106082-025	 黒:5 青:3 橙:1 灰:1 白:1
現状	950106168-006	 白:3 青:2 灰:2 黄:1 桃:1 黒:1 緑:1
現状	950104049-008	 白:4 橙:2 緑:2 青:1 茶:1 黄:1
現状	950106149-004	 青:2 黒:2 灰:2 白:2 緑:2 紫:1
蒸気	950107028-001	 灰:5 白:4 紫:1 黒:1
蒸気	950104022-001	 白:7 黒:2 灰:2
蒸気	950101157-014	 白:7 青:3 橙:1
便	950104156-006	 緑:4 青:2 黒:2 白:2 黄:1
便	950105247-006	 青:4 黄:2 黒:2 橙:1 灰:1 白:1
便	950104134-002	 青:3 白:3 茶:2 赤:1 黒:1 緑:1
リスト	950104200-007	 白:4 黒:3 青:2 橙:1 灰:1
リスト	950101073-042	 灰:3 白:3 黄:2 緑:2 赤:1
リスト	950106021-015	 橙:3 白:3 赤:2 灰:2 黒:1
座長	950105166-002	 白:3 茶:2 紫:1 赤:1 青:1 橙:1 灰:1 黒:1
座長	950104186-036	 黒:3 桃:3 紫:1 青:1 赤:1 茶:1 白:1
座長	950104186-018	 赤:5 灰:2 青:1 紫:1 桃:1 緑:1
凍結	950107027-010	 白:5 青:3 赤:1 灰:1 黒:1
凍結	950107027-009	 青:5 白:4 茶:1 灰:1
凍結	950103032-003	 青:5 灰:4 茶:1 白:1
カネ	950104015-011	 黄:4 茶:2 灰:2 白:2 赤:1
カネ	950107023-007	 黄:4 灰:3 茶:2 赤:2
カネ	950107023-001	 黄:6 橙:2 紫:1 茶:1 白:1
変更	950104120-007	 赤:4 黄:2 黒:2 白:2 茶:1
変更	950105229-002	 青:2 黄:2 白:2 紫:1 緑:1 橙:1 黒:1 灰:1
変更	950104120-008	 黄:5 赤:2 紫:1 灰:1 黒:1 緑:1
減少	950104162-006	 灰:4 青:3 紫:1 赤:1 黄:1 黒:1
減少	950104156-009	 青:2 赤:2 灰:2 白:2 茶:1 黄:1 黒:1
減少	950104156-010	 灰:4 青:3 赤:2 茶:1 緑:1
もの	950103086-004	 白:3 黄:2 灰:2 黒:2 青:1 茶:1
もの	950104101-006	 灰:4 茶:2 黒:2 白:2 緑:1
もの	950103056-006	 白:4 青:3 黒:2 茶:1 黄:1
意外	950107041-018	 青:3 橙:2 黄:2 赤:1 桃:1 白:1 緑:1
意外	950105176-002	 橙:3 黄:3 紫:2 緑:2 赤:1
意外	950101073-007	 灰:4 黄:3 紫:1 青:1 赤:1 桃:1
課題	950104177-024	 白:3 青:2 灰:2 赤:1 橙:1 茶:1 緑:1
課題	950101159-016	 茶:3 黒:3 赤:2 黄:1 白:1 緑:1
課題	950104075-007	 青:2 橙:2 赤:2 黄:2 灰:1 黒:1 緑:1
整理	950105128-002	 白:3 青:2 橙:2 緑:2 茶:1 灰:1
整理	950107007-001	 青:5 白:2 赤:1 黄:1 灰:1 黒:1
整理	950107004-006	 緑:4 青:3 茶:2 紫:1 白:1
衝突	950105063-001	 黒:5 赤:2 黄:2 灰:2
衝突	950105063-003	 赤:7 青:1 紫:1 茶:1 黄:1
衝突	950101167-001	 赤:7 茶:1 黄:1 灰:1 黒:1
重み	950105085-014	 黒:5 茶:2 黄:2 橙:1 緑:1
重み	950105150-010	 黒:6 茶:2 灰:2 青:1
重み	950101075-005	 黒:8 紫:1 茶:1 灰:1
閣僚	950103009-001	 黒:4 灰:3 橙:1 黄:1 白:1 緑:1
閣僚	950105018-002	 黒:3 青:2 灰:2 紫:1 茶:1 黄:1 白:1
閣僚	950104011-011	 黒:3 青:2 黄:2 白:2 茶:1 緑:1
幅	950101061-012	 青:3 緑:3 茶:2 黄:2 橙:1
幅	950103094-003	 灰:4 白:2 青:1 茶:1 赤:1 黄:1 黒:1
幅	950103002-005	 灰:4 青:2 赤:1 茶:1 黒:1 白:1 緑:1
ＦＷ	950106117-013	 青:5 茶:2 赤:2 黒:1 緑:1
ＦＷ	950106105-011	 青:5 橙:2 緑:2 桃:1 黒:1
ＦＷ	950106117-004	 緑:3 橙:2 白:2 紫:1 青:1 赤:1 黒:1
音	950106178-010	 茶:2 黒:2 白:2 緑:2 青:1 灰:1 桃:1
音	950106178-010	 青:3 桃:2 紫:1 赤:1 茶:1 橙:1 灰:1 白:1
音	950105055-012	 紫:3 赤:2 黄:2 青:1 茶:1 桃:1 白:1
クリスマス	950104031-005	 赤:4 黒:2 緑:2 桃:1 灰:1 白:1
クリスマス	950104031-003	 赤:6 白:3 緑:2
クリスマス	950104031-005	 赤:5 白:3 緑:3
登録	950101151-007	 青:3 緑:3 橙:2 赤:2 黒:1
登録	950106157-001	 青:5 紫:1 茶:1 橙:1 赤:1 黒:1 緑:1
登録	950106157-005	 赤:5 緑:2 青:1 灰:1 黒:1 白:1
植物	950101166-008	 緑:9 黄:1 白:1
植物	950105232-004	 緑:8 青:1 赤:1 桃:1
植物	950101166-010	 緑:11
必要	950107004-006	 赤:4 白:3 紫:1 茶:1 黒:1 緑:1
必要	950105170-002	 赤:4 黒:2 白:2 青:1 橙:1 灰:1
必要	950105173-020	 黄:4 赤:3 茶:2 橙:1 緑:1
先端	950103038-006	 黄:5 青:2 紫:1 橙:1 灰:1 白:1
先端	950105046-002	 青:5 赤:2 白:2 黄:1 緑:1
先端	950101061-007	 赤:4 青:3 白:2 桃:1 緑:1
プレゼント	950103048-005	 桃:5 赤:3 白:2 青:1
プレゼント	950105204-003	 桃:3 赤:2 緑:2 紫:1 橙:1 黄:1 白:1
プレゼント	950107047-006	 桃:5 赤:3 紫:1 白:1 緑:1
赤ちゃん	950105123-009	 赤:4 桃:3 橙:2 黄:1 白:1
赤ちゃん	950104043-003	 白:4 青:2 赤:2 黒:2 桃:1
赤ちゃん	950105123-003	 赤:6 白:3 青:1 緑:1
奥	950107056-001	 青:3 黒:3 紫:2 茶:2 赤:1
奥	950101156-007	 黒:5 紫:2 赤:2 茶:1 灰:1
奥	950104186-030	 紫:4 茶:2 緑:2 赤:1 橙:1 桃:1
決定	950104011-001	 青:3 赤:2 黒:2 緑:2 橙:1 灰:1
決定	950103031-001	 赤:4 青:3 緑:2 黒:1 白:1
決定	950107006-002	 赤:5 青:2 白:2 茶:1 黒:1
燃料	950103002-005	 赤:9 橙:1 黒:1
燃料	950105053-005	 赤:6 黒:2 橙:1 茶:1 緑:1
燃料	950106050-002	 赤:5 黒:3 茶:1 黄:1 白:1
総体	950104086-014	 青:4 橙:2 黒:2 紫:1 灰:1 緑:1
総体	950105109-006	 白:3 赤:2 緑:2 青:1 橙:1 黄:1 灰:1
総体	950105109-009	 灰:2 桃:2 黒:2 白:2 赤:1 橙:1 黄:1
協議	950106193-002	 灰:3 青:2 紫:1 赤:1 緑:1 橙:1 黄:1 黒:1
協議	950107007-010	 黄:5 灰:4 青:1 黒:1
協議	950105077-003	 灰:4 黒:3 黄:2 青:1 緑:1
封鎖	950106168-009	 灰:4 黒:3 赤:2 橙:1 茶:1
封鎖	950107040-008	 黒:5 赤:3 黄:2 灰:1
封鎖	950106173-003	 黒:3 赤:2 灰:2 白:2 黄:1 桃:1
投資	950107027-007	 黄:3 灰:2 紫:1 赤:1 青:1 橙:1 黒:1 白:1
投資	950105001-012	 赤:3 黄:3 灰:2 紫:1 青:1 黒:1
投資	950105033-035	 赤:2 黄:2 黒:2 灰:2 茶:1 桃:1 白:1
小説	950105115-029	 白:5 紫:2 黒:2 茶:1 橙:1
小説	950105115-021	 黒:3 白:3 茶:2 紫:1 黄:1 緑:1
小説	950101069-005	 茶:4 白:4 青:1 橙:1 灰:1
労組	950101015-020	 緑:3 赤:2 黄:2 紫:1 茶:1 灰:1 黒:1
労組	950104046-004	 茶:3 赤:2 黒:2 緑:2 青:1 黄:1
労組	950101015-019	 灰:4 赤:2 青:1 紫:1 桃:1 黒:1 緑:1
拠点	950101074-021	 赤:3 茶:3 黄:2 紫:1 灰:1 緑:1
拠点	950101156-011	 灰:4 黒:2 緑:2 橙:1 茶:1 桃:1
拠点	950104049-005	 黄:3 青:2 茶:2 黒:1 桃:1 灰:1 緑:1
危機	950104162-002	 赤:4 黄:4 紫:1 黒:1 灰:1
危機	950104158-002	 赤:5 黄:2 灰:1 黒:1 白:1 緑:1
危機	950106184-002	 赤:5 青:2 黄:2 黒:2
帰国	950104025-004	 青:5 橙:3 茶:1 黒:1 白:1
帰国	950106130-004	 白:3 緑:3 青:2 赤:1 黄:1 黒:1
帰国	950105022-006	 白:3 橙:2 黄:2 青:1 茶:1 灰:1 緑:1
値段	950107026-009	 赤:6 黄:2 黒:2 白:1
値段	950107056-016	 黄:2 灰:2 黒:2 白:2 青:1 赤:1 緑:1
値段	950104049-002	 黄:4 黒:2 紫:1 橙:1 茶:1 赤:1 白:1
強調	950101050-006	 赤:5 青:1 橙:1 黄:1 灰:1 白:1 緑:1
強調	950101022-002	 赤:10 黒:1
強調	950107054-006	 赤:4 黒:2 青:1 茶:1 橙:1 黄:1 灰:1
一環	950103029-002	 黒:4 緑:3 橙:2 紫:1 赤:1
一環	950105196-001	 緑:5 黒:2 青:1 茶:1 橙:1 灰:1
一環	950101174-005	 茶:3 緑:3 橙:2 青:1 桃:1 白:1
生死	950107040-005	 赤:5 灰:4 紫:1 黒:1
生死	950107056-003	 赤:3 灰:3 青:2 黒:2 紫:1
生死	950105003-003	 赤:3 黒:3 灰:3 紫:1 白:1
半島	950104027-002	 緑:5 茶:2 黒:2 白:2
半島	950101073-037	 茶:4 緑:4 青:1 橙:1 黄:1
半島	950105216-004	 茶:3 緑:3 灰:2 橙:1 黒:1 桃:1
ボックス	950104114-001	 白:4 赤:2 灰:2 茶:1 黄:1 黒:1
ボックス	950107033-003	 白:6 青:1 茶:1 赤:1 黄:1 緑:1
ボックス	950104114-003	 青:2 灰:2 黒:2 白:2 赤:1 橙:1 茶:1
いかだ	950105227-003	 茶:8 赤:1 橙:1 白:1
いかだ	950105122-003	 茶:9 青:2
いかだ	950105227-001	 茶:5 青:1 紫:1 黄:1 桃:1 白:1 緑:1
電子	950103086-007	 茶:3 灰:2 白:2 青:1 赤:1 橙:1 黄:1
電子	950103086-025	 黄:3 白:2 紫:1 緑:1 青:1 茶:1 橙:1 灰:1
電子	950104049-005	 黄:4 青:3 茶:1 赤:1 白:1 緑:1
展	950105150-003	 青:3 灰:2 紫:1 茶:1 黄:1 黒:1 桃:1 緑:1
展	950103129-002	 白:4 茶:3 赤:1 橙:1 黄:1 黒:1
展	950103129-002	 青:3 紫:2 橙:2 黄:2 緑:2
実	950106177-009	 橙:4 黄:2 桃:2 茶:1 灰:1 緑:1
実	950106177-016	 赤:3 桃:3 黄:2 茶:1 橙:1 緑:1
実	950105109-009	 黒:4 赤:2 紫:1 茶:1 黄:1 灰:1 桃:1
追加	950106198-002	 青:2 橙:2 黒:2 灰:2 紫:1 茶:1 白:1
