同僚	 緑:3 青:2 桃:2 紫:1 黒:1 灰:1 白:1
並立	 灰:4 白:3 緑:2 青:1 橙:1
魅力	 桃:4 紫:3 赤:2 橙:1 白:1
鉄鋼	 黒:5 灰:4 赤:2
学術	 白:3 青:2 黒:2 緑:2 紫:1 茶:1
建設	 灰:3 緑:2 紫:1 茶:1 黄:1 黒:1 桃:1 白:1
担保	 赤:3 紫:2 灰:2 青:1 橙:1 黄:1 白:1
得票	 赤:2 灰:2 白:2 緑:2 青:1 黄:1 黒:1
有権者	 赤:5 白:3 青:2 黄:1
管理	 青:3 赤:2 灰:2 紫:1 橙:1 白:1 緑:1
現状	 白:5 黒:3 青:1 灰:1 緑:1
蒸気	 白:8 灰:2 青:1
便	 茶:5 紫:1 青:1 赤:1 黄:1 灰:1 緑:1
リスト	 赤:2 黒:2 白:2 緑:2 茶:1 橙:1 灰:1
座長	 赤:6 黄:2 紫:1 黒:1 桃:1
凍結	 青:5 白:2 赤:1 桃:1 黒:1 緑:1
カネ	 黄:9 橙:1 灰:1
変更	 赤:4 橙:2 黄:2 茶:1 灰:1 桃:1
減少	 青:5 赤:2 黄:2 灰:2
もの	 白:6 茶:2 橙:1 黒:1 緑:1
意外	 赤:3 青:2 黄:2 緑:2 紫:1 桃:1
課題	 茶:3 黒:3 白:3 青:1 赤:1
整理	 白:5 青:2 橙:1 茶:1 黒:1 緑:1
衝突	 赤:9 黄:1 黒:1
重み	 黒:7 青:2 灰:2
閣僚	 黒:4 橙:2 灰:2 紫:1 赤:1 茶:1
幅	 青:3 灰:3 赤:1 茶:1 黄:1 白:1 緑:1
ＦＷ	 青:5 赤:2 橙:1 黄:1 黒:1 緑:1
音	 青:3 橙:2 赤:1 桃:1 緑:1 茶:1 灰:1 白:1
クリスマス	 赤:4 緑:4 白:3
登録	 橙:2 黒:2 紫:1 赤:1 緑:1 青:1 茶:1 黄:1 白:1
植物	 緑:10 白:1
必要	 青:3 赤:2 緑:2 紫:1 橙:1 黒:1 白:1
先端	 白:3 赤:2 黒:2 青:1 黄:1 桃:1 緑:1
プレゼント	 桃:4 赤:3 白:2 黄:1 緑:1
赤ちゃん	 桃:5 赤:3 白:2 黄:1
奥	 黒:5 灰:4 紫:1 赤:1
決定	 青:3 赤:3 白:3 黄:1 桃:1
燃料	 赤:6 灰:2 橙:1 茶:1 黒:1
総体	 橙:2 白:2 緑:2 青:1 茶:1 赤:1 黄:1 黒:1
協議	 灰:4 紫:2 橙:1 赤:1 黄:1 黒:1 白:1
封鎖	 黒:5 赤:2 灰:2 茶:1 黄:1
投資	 灰:3 赤:2 黄:2 青:1 紫:1 白:1 緑:1
小説	 白:4 青:2 茶:2 黒:2 灰:1
労組	 黒:3 赤:2 灰:2 青:1 紫:1 橙:1 緑:1
拠点	 赤:4 黒:3 青:2 紫:1 茶:1
危機	 赤:7 黄:2 灰:1 黒:1
帰国	 青:5 白:2 赤:1 黒:1 灰:1 緑:1
値段	 赤:3 黄:3 青:1 橙:1 黒:1 灰:1 緑:1
強調	 赤:6 黄:2 青:1 紫:1 黒:1
一環	 白:3 青:2 黒:2 紫:1 橙:1 黄:1 灰:1
生死	 灰:5 黒:2 白:2 青:1 赤:1
半島	 緑:6 茶:2 赤:1 灰:1 黒:1
ボックス	 青:4 黒:3 白:2 茶:1 灰:1
いかだ	 茶:6 橙:2 灰:1 白:1 緑:1
電子	 黄:5 白:3 青:1 灰:1 黒:1
展	 黄:2 灰:2 白:2 緑:1 青:1 茶:1 橙:1 黒:1
実	 茶:3 桃:3 紫:1 赤:1 黄:1 白:1 緑:1
追加	 赤:6 青:2 黄:1 白:1 緑:1
出勤	 青:4 赤:2 橙:1 黄:1 灰:1 黒:1 白:1
合計	 赤:3 黄:2 灰:2 黒:2 茶:1 白:1
売買	 青:4 赤:2 桃:2 黄:1 黒:1 緑:1
嫌い	 黒:4 灰:3 紫:2 赤:2
券	 茶:5 黒:2 青:1 赤:1 黄:1 緑:1
タイプ	 青:2 黄:2 白:2 紫:1 赤:1 橙:1 灰:1 黒:1
節	 緑:3 茶:2 桃:2 黒:2 橙:1 赤:1
骨髄	 白:7 灰:2 茶:1 黄:1
役場	 灰:3 茶:2 白:2 青:1 桃:1 黒:1 緑:1
造船	 灰:4 白:2 紫:1 青:1 茶:1 黒:1 緑:1
公共	 白:5 黄:2 緑:2 青:1 橙:1
天才	 黄:5 赤:2 紫:1 橙:1 灰:1 白:1
